Agency,Parent CN ID,CN ID,Publish Date,Amendment Date,Status,StartDate,EndDate,Value,Description,Agency Ref. ID,Category,Procurement Method,ATM ID,SON ID,Confidentiality - Contract,Confidentiality - Contract Reason(s),Confidentiality - Outputs,Confidentiality - Outputs Reason(s),Consultancy,Consultancy Reason(s),Amendment Reason,Supplier Name,Supplier Address,Supplier City,Supplier Postcode,Supplier Country,Supplier ABNExempt,Supplier ABN,Agency Branch,Agency Divison,Agency Postcode
AusAid,,CN1059861,2013-01-03, ,published,2012-04-17,2012-10-31,22522.50, Corporate Services - Design and print services ,D445961/10,Graphic design,Open tender,,SON445961,No,,No,,No,,,Gri.D Communications Pty Ltd,,Canberra,2609,AUSTRALIA,No,22057797010,,,2600
AusAid,,CN1059921,2013-01-03, ,published,2012-06-13,2012-09-12,26950.00, Corporate Services - Editing services ,D445961/17,Editorial and support services,Open tender,,,No,,No,,No,,,Morris Walker Pty Ltd,,Fyshwick,2609,AUSTRALIA,No,72060632617,,,2600
AusAid,,CN1061651,2013-01-02, ,published,2012-03-13,2012-06-04,28588.33, Corporate Services - Recruitment for Health Director ,D48511/14,Personnel recruitment,Open tender,,,No,,No,,No,,,Mott MacDonald Australia Pty Ltd,,Canberra,2601,AUSTRALIA,No,13134120353,,,2600
AusAid,,CN1061821,2013-01-03, ,published,2012-04-17,2012-10-31,14907.20, Corporate Services - Design and print services ,D445961/47,Publication printing,Open tender,,,No,,No,,No,,,Blue Start Print,,Canberra,2620,AUSTRALIA,No,58000205210,,,2600
"Department of Families, Housing, Community Services and Indigenous Affairs",,CN1079492,2013-01-04, ,published,2013-01-03,2013-06-30,130759.20, ICT Contractors ,90001082,Components for information technology or broadcasting or telecommunications,Open tender,,,No,,No,,No,,,Compas Pty Ltd,,Civic Square,2608,AUSTRALIA,No,90008615745,IMT Group Executive,FaHCSIA,2900
"Department of Families, Housing, Community Services and Indigenous Affairs",CN854631,CN854631-A1,2012-11-13,2013-01-03,published,2012-08-29,2013-02-08,70635.00, Contractor ,45412830,Temporary personnel services,Open tender,SOD09/00277,SON288440,No,,No,,No,,Contract Extension,Clarius Group,,Kingston,2604,AUSTRALIA,No,43002724334,Children's Policy,FaHCSIA,2900
"Department of Families, Housing, Community Services and Indigenous Affairs",CN479983,CN479983-A2,2012-04-30,2013-01-03,published,2012-04-20,2013-06-30,59200.00, Probity advice on Disability Long-Term Care and Support Taskforce procurement activities ,45407233,Risk management consultation services,Open tender,09/T673,SON254424,No,,No,,Yes,Need for specialised or professional skills,Variation No 2,Australian Government Solicitor,,Canberra,2610,AUSTRALIA,No,69405937639,"Board, Planning and Risk",FaHCSIA,2900
Department of Climate Change and Energy Efficiency,CN1110992,CN1110992-A1,2012-12-21,2013-01-02,published,2012-12-13,2013-06-30,49800.00, Light Emitting Diode (LED) Product Profile and Testing ,SCCC_STD-006101-0,Environmental management,Open tender,,,No,,No,,No,,Amend ABN,Light Naturally,PO BOX 3458,Southbank,4101,AUSTRALIA,No,28122584918,Business Services,Corporate Support,2601
"Department of Sustainability, Environment, Water, Population and Communities",,CN1113492,2013-01-02, ,published,2012-12-17,1932-12-17,25200000.00, Purchase of Water Entitlements ,,Environmental management,Open tender,,,No,,No,,No,,,Grampians Wimmera Mallee Water Corporation,,Horsham,3402,AUSTRALIA,No,35584588263,,,2601
"Department of Sustainability, Environment, Water, Population and Communities",,CN1113502,2013-01-02, ,published,2012-12-18,2013-03-31,337250.00, Purchase of Water Entitlement ,,Environmental management,Open tender,,,No,,No,,No,,,Gwnsylka Pty Ltd (Administrators Appointed),,Adelaide,5001,AUSTRALIA,Yes,,,,2601
Defence Materiel Organisation,,CN1113532,2013-01-02, ,published,2012-12-17,2013-03-29,506830.50,Disposal of Personal Protective Equipment,4500878874,Scrap and waste materials,Open tender,RFT 1165440,,No,,No,,No,,,AUSTRALIAN DEFENCE APPAREL,14 GAFFNEY ST,COBURG,3058,AUSTRALIA,No,67006898906,LSD - SMSPO,Australian Capital Territory,3006
Department of Broadband Communications and the Digital Economy,,CN1113702,2013-01-02, ,published,2012-12-21,2013-06-28,55000.00,Mobile website support services,4603386,Software,Open tender,DCON/10/96,SON368749,No,,No,,No,,,Squiz Australia Pty Ltd,"Unit 3, 19 Napier Close",Deakin,2600,Australia,No,53131581247,,CORP Corporate and Business Division,2603
Defence Materiel Organisation,,CN1113732,2013-01-02, ,published,2012-12-17,2013-05-30,403626.96,Additional 3AF Development CAMM2,4500878745,Software,Open tender,,,No,,No,,No,,,ACCENTURE AUSTRALIA HOLDINGS,PO Box 424,CANBERRA,2601,AUSTRALIA,No,61096995649,ESD other,Australian Capital Territory,3027
Defence Materiel Organisation,,CN1113792,2013-01-02, ,published,2012-12-18,2013-03-15,291335.00,FM53 Protective masks and accessories,4500879035,Personal safety and protection,Open tender,RFQ 6000023286,,No,,No,,No,,,OWEN INTERNATIONAL PTY LTD,UNIT 15 / 2 CAMPBELL ST,ARTARMON,2064,AUSTRALIA,No,79002349082,LSD - SSSPO,Australian Capital Territory,3006
Defence Materiel Organisation,,CN1113812,2013-01-02, ,published,2012-12-18,2013-06-30,353760.00,Software development services,4500879010,Software or hardware engineering,Open tender,,,Yes,Costing/profit information,Yes,Public interest,No,,,UXC LIMITED,575 BOURKE STREET,MELBOURNE,3000,AUSTRALIA,No,65067682928,Intelligence & Security,Australian Capital Territory,2609
Defence Materiel Organisation,,CN1113862,2013-01-02, ,published,2012-12-18,2013-01-31,21395.66,Computer,4500878998,Computer Equipment and Accessories,Open tender,,SON335550,No,,No,,No,,,HEWLETT PACKARD AUSTRALIA LTD,PO Box 384,CONCORD WEST,2138,AUSTRALIA,No,74004394763,DMO,Australian Capital Territory,2600
Defence Materiel Organisation,,CN1113902,2013-01-02, ,published,2012-12-18,2013-06-30,406560.00,Project Management,4500878967,Project management,Open tender,,,Yes,Costing/profit information,Yes,Public interest,No,,,ILLUMINATED SOLUTIONS PTY LTD,13 WOOLSHED LANE,BYWONG,2621,AUSTRALIA,No,31050461268,Intelligence & Security,Australian Capital Territory,2600
Defence Materiel Organisation,,CN1113922,2013-01-02, ,published,2012-12-18,2013-01-31,21967.44,Laptops,4500878942,Notebook computers,Open tender,,SON335550,No,,No,,No,,,DELL AUSTRALIA PTY LIMITED,PO Box GPO 4470,SYDNEY,1044,AUSTRALIA,No,46003855561,ESD other,Australian Capital Territory,2600
Defence Materiel Organisation,,CN1113932,2013-01-02, ,published,2012-12-18,2013-04-05,67908.22,Ad Hoc Reporting development for Software,4500878938,Software,Open tender,,SON48590,No,,No,,No,,,ALTIS CONSULTING PTY LTD,219-223 CASTLEREAGH ST,SYDNEY,2000,AUSTRALIA,No,85081942609,ESD other,Australian Capital Territory,3027
Defence Materiel Organisation,,CN1113942,2013-01-02, ,published,2012-12-18,2013-06-28,164656.00,Technical writing and engineering services for authoring of technical manuals for Shadow 200 UAS,4500878937,Professional engineering services,Open tender,,SON48590,No,,No,,No,,,GHD PTY LTD,PO Box 668,BRISBANE,4001,AUSTRALIA,No,39008488373,HSD Other,Australian Capital Territory,4051
Defence Materiel Organisation,,CN1113962,2013-01-02, ,published,2012-12-18,2013-05-24,530844.93,Software and hardware engineering,4500878921,Software or hardware engineering,Open tender,09/01ES,,No,,No,,No,,,THALES AUSTRALIA,PO Box 675,NEDLANDS,6009,AUSTRALIA,No,66008642751,ESD - CSS Branch,Australian Capital Territory,2600
Defence Materiel Organisation,,CN1113982,2013-01-02, ,published,2012-12-17,2013-06-30,211200.00,System Sustainment Services for Changepoint capability,4500878715,Software maintenance and support,Open tender,,,No,,No,,No,,,COMPUWARE ASIA-PACIFIC PTY LTD,PO Box LB 2092,MACQUARIE PARK,1670,AUSTRALIA,No,23063641510,DMO,Australian Capital Territory,2600
Defence Materiel Organisation,,CN1114002,2013-01-02, ,published,2007-07-23,2015-01-30,239473.56,Contrruction of 2 Landing Helicopter Docking Ships,1900578220,Military watercraft,Open tender,,,No,,No,,No,,,BAE SYSTEMS AUSTRALIA DEFENCE PTY,PO Box 1068,SALISBURY,5108,AUSTRALIA,No,51006870846,DMO,Australian Capital Territory,2600
Defence Materiel Organisation,,CN1114012,2013-01-02, ,published,2012-11-27,2015-01-30,14678.10,Contrruction of 2 Landing Helicopter Docking Ships,1900578217,Military watercraft,Open tender,,,No,,No,,No,,,BAE SYSTEMS AUSTRALIA DEFENCE PTY,PO Box 1068,SALISBURY,5108,AUSTRALIA,No,51006870846,DMO,Australian Capital Territory,2600
Defence Materiel Organisation,,CN1114022,2013-01-02, ,published,2007-07-23,2015-01-30,53722.39,Contrruction of 2 Landing Helicopter Docking Ships,1900578213,Military watercraft,Open tender,,,No,,No,,No,,,BAE SYSTEMS AUSTRALIA DEFENCE PTY,PO Box 1068,SALISBURY,5108,AUSTRALIA,No,51006870846,DMO,Australian Capital Territory,2600
Defence Materiel Organisation,,CN1114052,2013-01-02, ,published,2007-07-23,2015-01-30,47054.85,Contrruction of 2 Landing Helicopter Docking Ships,1900578188,Military watercraft,Open tender,,,No,,No,,No,,,BAE SYSTEMS AUSTRALIA DEFENCE PTY,PO Box 1068,SALISBURY,5108,AUSTRALIA,No,51006870846,DMO,Australian Capital Territory,2600
AusAid,,CN1123822,2013-01-04, ,published,2012-10-03,2013-06-30,48204.20,Placement of Health Specialist (Timor Leste),48511/193,Human resources services,Prequalified tender,,SON162020,No,,No,,No,,,MOTT MACDONALD AUSTRALIA PTY LTD,15 BARRY DRIVE (PO BOX 320),TURNER,2612,AUSTRALIA,No,13134120353,Operations Support Branch,Corporate Governance and Review,2601
AusAid,,CN1123962,2013-01-04, ,published,2012-10-23,2013-02-24,48627.11,Team member - contribution to the Independent Progress Review on labour mobility (Pacific),64938,Management advisory services,Prequalified tender,,,No,,No,,No,,,CLEAR HORIZON CONSULTING PTY. LTD. T/A CLEAR HORIZON,1/12 AVONDALE AVENUE,CHELSEA,3196,AUSTRALIA,No,37115522051,Operations Support Branch,Corporate Governance and Review,2601
Australian National Audit Office (ANAO),,CN1124112,2013-01-04, ,published,2012-12-10,2013-06-30,75900.00,Removal cost for 2013 Graduates,0002830-CP3316,Personnel relocation,Prequalified tender,,,No,,No,,No,,,Toll Transitions,PO Box 14399,MELBOURNE,8001,Australia,No,31006604191,Corporate Management Branch,Australian National Audit Office,2601
Australian National Audit Office (ANAO),,CN1124142,2013-01-04, ,published,2004-07-01,2008-06-30,44000.00,Non Gazettal,9999999-CP3315,Strategic planning consultation services,Prequalified tender,,,No,,No,,No,,,Ernst and Young,GPO Box 2646,SYDNEY,2001,Australia,No,75288172749,Corporate Management Branch,Australian National Audit Office,2601
Australian National Audit Office (ANAO),,CN1124152,2013-01-04, ,published,2004-07-01,2008-06-30,25000.00,Non Gazettal,9999999-CP3314,Shelving and storage,Prequalified tender,,,No,,No,,No,,,Dexion Canberra,,QUEANBEYAN,2620,Australia,No,68083154223,Corporate Management Branch,Australian National Audit Office,2601
AusAid,,CN1124342,2013-01-04, ,published,2012-11-11,2013-06-30,28842.00,Environmental Impact Assessment (Samoa),65291,Environmental management,Prequalified tender,,,No,,No,,No,,,ASHLEY J. BANSGROVE,4122 Tuxedo Drive,Outside Australia,,CANADA,Yes,,Operations Support Branch,Corporate Governance and Review,2601
AusAid,,CN1059691,2013-01-02, ,published,2011-11-21,2012-04-30,55000.00, Corporate Services - Strategic Corporate and Business Planning Advice ,D00918,Strategic planning consultation services,Prequalified tender,,,No,,No,,No,,,Nous Group Pty Ltd,,Canberra,2600,AUSTRALIA,No,66086210344,,,2600
AusAid,,CN1061681,2013-01-02, ,published,2012-04-17,2013-06-30,1268231.80, Corporate Services -  Review of Financial Management System ,D1061,Strategic planning consultation services,Prequalified tender,,,No,,No,,Yes,Need for specialised or professional skills,,KPMG Pty Ltd,,Canberra,2609,AUSTRALIA,No,51194660183,,,2600
Defence Materiel Organisation,,CN1113562,2013-01-02, ,published,2012-12-17,2013-06-30,35370.72,Explosive Ordnance,4500878860,Light weapons and ammunition,Prequalified tender,,,No,,No,,No,,,EXPLOSIVE PROTECTIVE EQUIPMENT,PO Box 3172,NEWSTEAD,4006,AUSTRALIA,No,46003083609,EOD - Munitions Branch,Australian Capital Territory,2750
Defence Materiel Organisation,,CN1113592,2013-01-02, ,published,2012-12-17,2013-06-30,48593.99,Engineering Support for the AP-3C Autopilot Upgrade Project,4500878821,Aerospace systems and components and equipment,Prequalified tender,,,No,,No,,No,,,AUSTRALIAN AEROSPACE LTD,PO Box 49,RAAF EDINBURGH,5111,AUSTRALIA,No,68003035470,DMO,Australian Capital Territory,5111
Defence Materiel Organisation,,CN1113612,2013-01-02, ,published,2012-12-17,2013-06-30,259533.94,"Provision IPT support for Production, Transition and Closure Cell activities",4500878816,Powered fixed wing aircraft,Prequalified tender,,,No,,No,,No,,,AUSTRALIAN AEROSPACE LTD,PO Box 49,RAAF EDINBURGH,5111,AUSTRALIA,No,68003035470,DMO,Australian Capital Territory,5111
Defence Materiel Organisation,,CN1113622,2013-01-02, ,published,2012-12-17,2013-06-30,356844.66,"Provision IPT support for Production, Transition and Closure Cell activities",4500878813,Powered fixed wing aircraft,Prequalified tender,,,No,,No,,No,,,BAE SYSTEMS AUSTRALIA DEFENCE PTY,3 SECOND AVENUE,MAWSON LAKES,5095,AUSTRALIA,No,51006870846,DMO,Australian Capital Territory,5111
Defence Materiel Organisation,,CN1113692,2013-01-02, ,published,2012-12-17,2013-06-30,876615.07,Management and delivery services for the P3 Block Upgrade Program - Standby Attitude Indicator Proj,4500878760,Aerospace systems and components and equipment,Prequalified tender,,,No,,No,,No,,,BAE SYSTEMS AUSTRALIA LTD,PO Box 1068,SALISBURY,5108,AUSTRALIA,No,29008423005,DMO,Australian Capital Territory,5111
Defence Materiel Organisation,,CN1113742,2013-01-02, ,published,2012-12-17,2014-06-30,199704.06,Management and delivery services for the P3 Block Upgrade Program - Standby Attitude Indicator Proj,4500878744,Aerospace systems and components and equipment,Prequalified tender,,,No,,No,,No,,,AUSTRALIAN AEROSPACE LTD,PO Box 49,RAAF EDINBURGH,5111,AUSTRALIA,No,68003035470,DMO,Australian Capital Territory,5111
Defence Materiel Organisation,,CN1113752,2013-01-02, ,published,2012-12-17,2015-06-30,3553329.58,Management and delivery services for the P3 Block Upgrade Program - Standby Attitude Indicator Proj,4500878732,Aerospace systems and components and equipment,Prequalified tender,,,No,,No,,No,,,BAE SYSTEMS AUSTRALIA DEFENCE PTY,3 SECOND AVENUE,MAWSON LAKES,5095,AUSTRALIA,No,51006870846,DMO,Australian Capital Territory,5111
Defence Materiel Organisation,,CN1113782,2013-01-02, ,published,2012-12-18,2013-02-13,31864.55,Procurement of computer accessory equipment,4500879043,Computer Equipment and Accessories,Prequalified tender,,,No,,No,,No,,,DIMENSION DATA AUSTRALIA PTY LTD,PO Box GPO 4059,SYDNEY,2001,AUSTRALIA,No,65003371239,DMO Maritime Systems Division,Australian Capital Territory,2600
Defence Materiel Organisation,,CN1113822,2013-01-02, ,published,2012-12-18,2013-04-30,71781.60,Installation of Load Centre - ANZAC Class Ship,4500879009,Military watercraft,Prequalified tender,,,No,,No,,No,,,BAE SYSTEMS AUSTRALIA,42 QUILL WAY,HENDERSON,6166,AUSTRALIA,No,51006870846,DMO Maritime Systems Division,Australian Capital Territory,6168
Defence Materiel Organisation,,CN1113872,2013-01-02, ,published,2012-12-18,2013-02-05,89408.00,Aircraft Spares,4500878997,Aircraft equipment,Prequalified tender,,,No,,No,,No,,,AERO & MILITARY PRODUCTS PTY LTD,UNIT 1 / 35-41 WESTPOOL DR,HALLAM,3803,AUSTRALIA,No,78056246505,Army Aviation SPO,Australian Capital Territory,4401
Defence Materiel Organisation,,CN1113912,2013-01-02, ,published,2012-12-18,2013-03-28,45941.50,Multiparameter Meter,4500878956,Medical Equipment and Accessories and Supplies,Prequalified tender,,,No,,No,,No,,,VWR INTERNATIONAL PTY LTD,UNIT 1 / 31 ARCHIMEDES PL,MURARRIE,4172,AUSTRALIA,No,70145429974,LSD - Health SPO,Australian Capital Territory,3006
Defence Materiel Organisation,,CN1113952,2013-01-02, ,published,2012-12-18,2013-06-30,572577.99,G3 Training Equipment,4500878926,Electrical equipment and components and supplies,Prequalified tender,,,No,,No,,No,,,SOUTHTECH SYSTEMS PTY LTD,102 MCEWAN RD,HEIDLEBERG,3081,AUSTRALIA,No,33090805342,ESD - EW Branch,Australian Capital Territory,2600
Defence Materiel Organisation,,CN1114062,2013-01-02, ,published,2012-12-18,2012-12-18,600058.59,Aviation Fuel,1900578175,Fuels,Limited tender,,,No,,No,,No,,,MOD PUBLIC SUB ACCOUNT HMG 1086,11-15 MONUMENT STREET,LONDON,C3V9JA,UNITED KINGDOM,Yes,,DMO,Australian Capital Territory,2000
Defence Materiel Organisation,,CN1114072,2013-01-02, ,published,2012-12-10,2012-12-17,10116.23,Mr. Vyden's to attend COALWNW for JP2072PH2A.,1900578163,Project management,Limited tender,,,No,,No,,No,,,DEFENCE - 'INTER-AGENCY TRANSFERS',R1-2-A100 RUSSELL OFFICES,CAMPBELL,2600,AUSTRALIA,No,68706814312,ESD - COMMS Branch,Australian Capital Territory,2600
Defence Materiel Organisation,,CN1114082,2013-01-02, ,published,2012-12-17,2012-12-17,12544.51,MARINE FUEL,1900578147,Fuels,Limited tender,,,No,,No,,No,,,BAILEY'S MARINE FUELS AUSTRALIA,PO Box 979,FREMANTLE,6162,AUSTRALIA,No,13008677370,DMO,Australian Capital Territory,2000
Defence Materiel Organisation,,CN1114092,2013-01-02, ,published,2012-12-17,2013-06-30,34758.26,Electrical Equipment,1900578145,Electrical equipment and components and supplies,Limited tender,,,No,,No,,No,,,SOUTHTECH SYSTEMS PTY LTD,102 MCEWAN RD,HEIDELBERG WEST,3081,AUSTRALIA,No,33090805342,ESD - EW Branch,Australian Capital Territory,2600
Defence Materiel Organisation,,CN1114102,2013-01-02, ,published,2012-12-17,2012-12-18,287800.88,Aviation Fuel,1900578144,Fuels,Limited tender,,,No,,No,,No,,,ENOC INTERNATIONAL SALES LLC,PO Box POB 6442,DUBAI,99999,UNITED ARAB EMIRATES,Yes,,DMO,Australian Capital Territory,2000
Defence Materiel Organisation,,CN1114112,2013-01-02, ,published,2012-12-17,2012-12-18,769474.83,Aviation Fuel,1900578143,Fuels,Limited tender,,,No,,No,,No,,,ENOC INTERNATIONAL SALES LLC,PO Box POB 6442,DUBAI,99999,UNITED ARAB EMIRATES,Yes,,DMO,Australian Capital Territory,2000
Defence Materiel Organisation,,CN1114122,2013-01-02, ,published,2012-12-17,2012-12-18,1154616.69,Aviation Fuel,1900578142,Fuels,Limited tender,,,No,,No,,No,,,ENOC INTERNATIONAL SALES LLC,PO Box POB 6442,DUBAI,99999,UNITED ARAB EMIRATES,Yes,,DMO,Australian Capital Territory,2000
Defence Materiel Organisation,,CN1114132,2013-01-02, ,published,2012-12-17,2012-12-29,495398.37,Aviation Fuel,1900578140,Fuels,Limited tender,,,No,,No,,No,,,FED RESERVE BANK OF NEW YORK ITS,PO Box 182204,N/A,99999,UNITED STATES,Yes,,DMO,Australian Capital Territory,2000
Defence Materiel Organisation,,CN1114142,2013-01-02, ,published,2012-12-17,2012-12-22,1040356.17,Aviation Fuel,1900578139,Fuels,Limited tender,,,No,,No,,No,,,MOD PUBLIC SUB ACCOUNT HMG 1086,11-15 MONUMENT STREET,LONDON,C3V9JA,UNITED KINGDOM,Yes,,DMO,Australian Capital Territory,2000
Defence Materiel Organisation,,CN1114152,2013-01-02, ,published,2012-12-17,2012-12-18,159075.17,Aviation Fuel,1900578138,Fuels,Limited tender,,,No,,No,,No,,,MOD PUBLIC SUB ACCOUNT HMG 1086,11-15 MONUMENT STREET,LONDON,C3V9JA,UNITED KINGDOM,Yes,,DMO,Australian Capital Territory,2000
Defence Materiel Organisation,,CN1114162,2013-01-02, ,published,2012-12-17,2012-12-18,661370.17,Aviation Fuel,1900578134,Fuels,Limited tender,,,No,,No,,No,,,MOD PUBLIC SUB ACCOUNT HMG 1086,11-15 MONUMENT STREET,LONDON,C3V9JA,UNITED KINGDOM,Yes,,DMO,Australian Capital Territory,2000
Defence Materiel Organisation,,CN1114172,2013-01-02, ,published,2012-12-17,2012-12-18,773449.14,Aviation Fuel,1900578127,Fuels,Limited tender,,,No,,No,,No,,,MOD PUBLIC SUB ACCOUNT HMG 1086,11-15 MONUMENT STREET,LONDON,C3V9JA,UNITED KINGDOM,Yes,,DMO,Australian Capital Territory,2000
Defence Materiel Organisation,,CN1114182,2013-01-02, ,published,2012-12-17,2012-12-18,687165.54,Aviation Fuel,1900578126,Fuels,Limited tender,,,No,,No,,No,,,MOD PUBLIC SUB ACCOUNT HMG 1086,11-15 MONUMENT STREET,LONDON,C3V9JA,UNITED KINGDOM,Yes,,DMO,Australian Capital Territory,2000
Defence Materiel Organisation,,CN1114192,2013-01-02, ,published,2012-11-30,2012-12-30,26536.17,Aviation Fuel,1900578108,Fuels,Limited tender,,,No,,No,,No,,,NORDIC CAMP SUPPLY APS,STROMMEN 6,NOERRESUNDBY,9400,DENMARK,Yes,,DMO,Australian Capital Territory,2000
Defence Materiel Organisation,,CN1114202,2013-01-02, ,published,2012-12-04,2013-01-03,62010.47,Aviation Fuel,1900578107,Fuels,Limited tender,,,No,,No,,No,,,MINISTRY OF DEFENCE T/A DEFENCE BUS,"WALKER HOUSE, EXCHANGE FLAGS",LIVERPOOL,L2 3YL,UNITED KINGDOM,Yes,,DMO,Australian Capital Territory,2000
Defence Materiel Organisation,,CN1114212,2013-01-02, ,published,2012-12-17,2013-04-05,16872.83,DTWG Trial Support for Excalibur,4500878705,Professional engineering services,Limited tender,,,No,,No,,No,,,DEFENCE - 'INTER-AGENCY TRANSFERS',R1-2-A100 RUSSELL OFFICES,CAMPBELL,2600,AUSTRALIA,No,68706814312,EOD - Munitions Branch,Australian Capital Territory,2750
Defence Materiel Organisation,,CN1114222,2013-01-02, ,published,2012-12-17,2013-04-30,17056.22,Supply of Floating Support Bridge Life of Type Extension Services,4500878704,Prefabricated structures,Limited tender,RFT CONL099,SON363527,No,,No,,No,,,RPC TECHNOLOGIES PTY LTD,PO Box 448,TOONGABBIE,2146,AUSTRALIA,No,29100903124,LSD - EngSPO,Australian Capital Territory,3006
Defence Materiel Organisation,,CN1114232,2013-01-02, ,published,2012-12-17,2013-04-30,17056.22,Supply of Floating Support Bridge Life of Type Extension Services,4500878703,Prefabricated structures,Limited tender,RFT CONL099,SON363527,No,,No,,No,,,RPC TECHNOLOGIES PTY LTD,PO Box 448,TOONGABBIE,2146,AUSTRALIA,No,29100903124,LSD - EngSPO,Australian Capital Territory,3006
Defence Materiel Organisation,,CN1114242,2013-01-02, ,published,2012-12-17,2013-04-30,17056.22,Supply of Floating Support Bridge Life of Type Extension Services,4500878702,Prefabricated structures,Limited tender,RFT CONL099,SON363527,No,,No,,No,,,RPC TECHNOLOGIES PTY LTD,PO Box 448,TOONGABBIE,2146,AUSTRALIA,No,29100903124,LSD - EngSPO,Australian Capital Territory,3006
Defence Materiel Organisation,,CN1114252,2013-01-02, ,published,2012-12-17,2013-03-28,17056.22,Supply of Floating Support Bridge Life of Type Extension Services,4500878701,Prefabricated structures,Limited tender,RFT CONL099,SON363527,No,,No,,No,,,RPC TECHNOLOGIES PTY LTD,PO Box 448,TOONGABBIE,2146,AUSTRALIA,No,29100903124,LSD - EngSPO,Australian Capital Territory,3006
Defence Materiel Organisation,,CN1114262,2013-01-02, ,published,2012-12-17,2013-03-28,17056.22,Supply of Floating Support Bridge Life of Type Extension Services,4500878700,Prefabricated structures,Limited tender,RFT CONL099,SON363527,No,,No,,No,,,RPC TECHNOLOGIES PTY LTD,PO Box 448,TOONGABBIE,2146,AUSTRALIA,No,29100903124,LSD - EngSPO,Australian Capital Territory,3006
Defence Materiel Organisation,,CN1114272,2013-01-02, ,published,2012-12-17,2013-03-28,17056.22,Supply of Floating Support Bridge Life of Type Extension Services,4500878699,Prefabricated structures,Limited tender,RFT CONL099,SON363527,No,,No,,No,,,RPC TECHNOLOGIES PTY LTD,PO Box 448,TOONGABBIE,2146,AUSTRALIA,No,29100903124,LSD - EngSPO,Australian Capital Territory,3006
Defence Materiel Organisation,,CN1114282,2013-01-02, ,published,2012-12-17,2013-03-28,17056.22,Supply of Floating Support Bridge Life of Type Extension Services,4500878698,Prefabricated structures,Limited tender,RFT CONL099,SON363527,No,,No,,No,,,RPC TECHNOLOGIES PTY LTD,PO Box 448,TOONGABBIE,2146,AUSTRALIA,No,29100903124,LSD - EngSPO,Australian Capital Territory,3006
Defence Materiel Organisation,,CN1114292,2013-01-02, ,published,2012-12-17,2013-03-29,17056.22,Supply of Floating Support Bridge Life of Type Extension Services,4500878697,Prefabricated structures,Limited tender,RFT CONL099,SON363527,No,,No,,No,,,RPC TECHNOLOGIES PTY LTD,PO Box 448,TOONGABBIE,2146,AUSTRALIA,No,29100903124,LSD - EngSPO,Australian Capital Territory,3006
Defence Materiel Organisation,,CN1114302,2013-01-02, ,published,2012-12-17,2013-03-29,17056.22,Supply of Floating Support Bridge Life of Type Extension Services,4500878696,Prefabricated structures,Limited tender,RFT CONL099,SON363527,No,,No,,No,,,RPC TECHNOLOGIES PTY LTD,PO Box 448,TOONGABBIE,2146,AUSTRALIA,No,29100903124,LSD - EngSPO,Australian Capital Territory,3006
Defence Materiel Organisation,,CN1114322,2013-01-02, ,published,2012-12-15,2013-03-30,19120.20,Explosives spare parts,4500878692,Light weapons and ammunition,Limited tender,,,No,,No,,No,,,SECAMIC,PO Box N/A,PARIS 15,75015,FRANCE,Yes,,EOD - Munitions Branch,Australian Capital Territory,2600
Defence Materiel Organisation,,CN1114332,2013-01-02, ,published,2012-12-21,2013-01-08,76396.70,Aviation Fuel,1900578340,Fuels,Limited tender,,,No,,No,,No,,,NORDIC CAMP SUPPLY APS,STROMMEN 6,NOERRESUNDBY,9400,DENMARK,Yes,,DMO,Australian Capital Territory,2000
Defence Materiel Organisation,,CN1114342,2013-01-02, ,published,2012-12-21,2013-01-15,41255.69,Aviation Fuel,1900578339,Fuels,Limited tender,,,No,,No,,No,,,NORDIC CAMP SUPPLY APS,STROMMEN 6,NOERRESUNDBY,9400,DENMARK,Yes,,DMO,Australian Capital Territory,2000
Defence Materiel Organisation,,CN1114352,2013-01-02, ,published,2012-12-13,2013-05-30,96474.82,GST Payment,1900578315,Heavy construction machinery and equipment,Limited tender,,,No,,No,,No,,,MANITOWOC CRANE GROUP AUSTRALIA,PO Box 316,DOONSIDE,2767,AUSTRALIA,No,52076700082,LSD - Other,Australian Capital Territory,3006
Defence Materiel Organisation,,CN1114362,2013-01-02, ,published,2012-12-20,2013-01-11,71765.00,Aviation Fuel,1900578314,Fuels,Limited tender,,,No,,No,,No,,,MINISTRY OF DEFENCE T/A DEFENCE BUS,"WALKER HOUSE, EXCHANGE FLAGS",LIVERPOOL,L2 3YL,UNITED KINGDOM,Yes,,DMO,Australian Capital Territory,2000
Defence Materiel Organisation,,CN1114372,2013-01-02, ,published,2012-12-11,2013-06-30,61178.33,GST only payment,1900578283,Taxation,Limited tender,,,No,,No,,No,,,BOEING DEFENCE AUSTRALIA LTD,PO Box 767,BRISBANE,4000,AUSTRALIA,No,15103165466,DMO,Australian Capital Territory,2314
Defence Materiel Organisation,,CN1114382,2013-01-02, ,published,2012-12-20,2012-12-20,16362.50,Aviation Fuel,1900578281,Fuels,Limited tender,,,No,,No,,No,,,AVFUEL SA,40 GAGE STREET,ST MORRIS,5068,AUSTRALIA,No,62384038826,DMO,Australian Capital Territory,2000
