Description,ECCN1,ECCN2,ECCN3,ECCN4,ECCN5
"Cryptologic equipment and components, n.e.s.",5A992,,,,
"Cryptologic equipment, technology for the development, production or use of",5E992,,,,
Crystal pullers and furnaces,3B991b1c,,,,
CTPB (Carboxy-terminated polybutadiene),1C111b1,,,,
Custom integrated circuits,3A001a2,3A001a10,,,
"Cutting tool inserts, single diamond point",2B998b,,,,
"Cutting machines, gears",2B003,,,,
Cutting equipment for prepregs/preform production,1B101d,,,,
CVD (Chemical vapor deposition) equipment,1B001d2,,,,
CVD (Chemical vapor deposition) equipment,2B005a,,,,
CVD (Chemical vapor deposition) equipment,1B101c2,,,,
"CVD (Chemical vapor deposition) furnaces, other than those controlled by 2B005.a, designed or modified for the densification of carbon-carbon composites ....",2B105,,,,
CW (Chemical warfare) precursors,1C350,,,,
Cyanogen chloride (506-77-4),1C355b1b,1E355b2,,,
"Cylinder wall lubrication technology, diesel engines",9E003e3,,,,
DACs (Digital-to-analog converters),3A001a5,,,,
DBRN (Data Based Referenced Navigation) system technology,7E004a7,,,,
"Damping, flotation or lubricating fluids",1C006c,,,,
Data acquisition systems for gas turbine engine development,9B002,9B619a,,,
"Data (message) switching equipment, systems, components and assemblies",5A991c1,,,,
"Data acquisition equipment for wind tunnels, automatic",9B005,,,,
"Data Based Referenced Navigation (DBRN) systems for underwater navigation, technology",7E004a7,,,,
Datagram packet routing or switching equipment,5A991c3,,,,
"Decanters, centrifugal",2B352c,,,,
Decontamination equipment,1A004,1A995,,,
Deep-hole drilling machines,2B001f,,,,
"Defect, error or contaminant detection equipment for wafers or substrates",3B992b1,,,,
Deformable mirrors,6A004a1,,,,
Degassing equipment,2B350,,,,
DEGDN (diethylene glycol dinitrate),1C111c5,,,,
Demolition blocks,0A604a,,,,
Dengue fever virus,1C351a6,,,,
Depleted Uranium,1A290,,,,
Depth sounders,6A001a1,,,,
"Design integration of guidance sets, software",7D103,,,,
Detection and protection equipment and components,1A004,1A995,2B351,2B352,
"Detection equipment, seismic",6A999a,,,,
"Detection equipment, radiation",1A004,1A995,1A999a,,
"Detection equipment, radiographic",1A999b,,,,
Detection systems for explosives and detonators,1A004d,2A983,2D983,2E983,
Detection or location systems or transmitting and receiving arrays (acoustic),6A001a1b,,,,
"Detectors, optical",6A002a,,,,
"Detectors, radiation hardened",6A102,,,,
"Detectors, space-qualified solid state optical",6A002a1,,,,
Detonation cord,1A008,1C992c,,,
Detonator detection,2A983,2D983,2E983,,
Detonators and multipoint initiation systems,3A229,,,,
"Detonator firing sets, for multiple detonators of 3A232",1A007,3A229,,,
"Detonators, electric or non-electric",1C608d,1C992e,,,
"Detonators, exploding bridge wire (EBW)",1A007,,,,
"Detonators, exploding bridge (EB)",1A007,,,,
"Detonators, exploding foil initiators (EB)",1A007,,,,
Detonators for military explosives,0A604,,,,
"Detonators, slapper (electric)",1A007,,,,
Deuterium fluoride-carbon dioxide (DF-CO2) lasers,6A005d5,,,,
Deuterium fluoride (DF) lasers,6A005d5,,,,
Di-isopropylamine,1C350d4,,,,
Diacetoxyscirpenol toxin,1C351d7,,,,
"Dials, indicator",3A611y26,,,,
"Dialkyl (Me, Et, n-Pr or i-Pr) N,N-dialkyl (Me, Et, n-Pr, or i-Pr)-phosphoramidates",1C355a2c,,,,
"Diamond cutting tool inserts, single point",2B998b,,,,
Diamond film substrate development/production technology,3E003d,,,,
"Diaphragms, made from fluoroelastomers",1A001c,,,,
Diaphragm valves,2B350g,,,,
Dibromotetrafluoroethane based damping or flotation fluids,1C006c1,,,,
"Die bonder, stored program controlled",3B991b3a,,,,
Diesel engines for submarines,8A620d,,,,
"Diesel engines, nonmagnetic",8A609b,,,,
Diesel engines (air-cooled) and engine blocks for amored vehicles,0A606c,,,,
"Dies, bellows-forming",2B228c,,,,
"Diesel engines, n.e.s.",9A990,,,,
"Diesel cycle engine, air independent",8A002j,,,,
Diethyl ethylphosphonate,1C350b3,,,,
Diethyl methylphosphonite,1C350b4,,,,
Diethyl phosphite,1C350c1,,,,
"Diethyl-N, N-dimethylphosphoramidate",1C350b5,,,,
Diethylaminoethanol,1C350d3,,,,
Diethylene glycol dinitrate (DEGDN),1C111c5,,,,
"Diffusion bonding technology, metal working",2E003b1b,,,,
"Diffusion bonding technology/data, super alloys or Ti alloys",2E003b2b,,,,
"Diffusion bonding tools, dies, molds or fixtures",1B003,,,,
Digital array processors,3A001a3 Note,,,,
Digital computers,4A003,,,,
Digital computers,4A994b,,,,
"Digital computers, electronic assemblies & related equipment",4A003,,,,
"Digital computers, electronic assemblies & related equipment",4A001,,,,
"Digital computers, logic processors",4A003,,,,
"Digital computers, ruggedized",4A101,,,,
"Digital computers, signal processing",4A003,,,,
"Digital computers, vector processors",4A003,,,,
"Digital computer electronic assemblies, parallel processing",4A003c,,,,
Digital computer systems,4A004,,,,
Digital computer systems,4A003c,,,,
Digital computer systems,4A003b,,,,
Digital computer systems,4A001,,,,
Digital coprocessors,3A001a3 Note,,,,
"Digital differential analyzer, ruggedized",4A101,,,,
"Digital electronic control software for propulsion systems, aerospace test facilities or air breathing aero-engine test facilities",9D003,9D619,,,
"Digital exchanges, telecommunication",5A991c,,,,
Digital instrumentation data recorders,3A002a6,,,,
Digital signal processors,4A003,,,,
Digital time delay generators,3A999e1,,,,
Digital-to-analog converter integrated circuits (DACs),3A001a5,,,,
Digitally controlled radio receivers,5A001b5,,,,
"Digitizers, waveform",3A002a5,,,,
Dimensional inspection or measuring systems or equipment not controlled by 2B006,2B996,,,,
Dimensional inspection machines,2B206,,,,
Dimensional inspection equipment/systems,2B006a,,,,
Dimensional inspection equipment/systems,2B006c,,,,
"Dimensional measuring equipment, instruments/systems",2B006b,,,,
Dimethyl ethylphosphonate,1C350b10,,,,
Dimethyl methylphosphonate,1C350b11,,,,
Dimethyl phosphite,1C350c2,,,,
Dimethylamin,1C350d5,,,,
Dimethylamine hydrochloride,1C350d6,,,,
Dinitrogen tetroxide (),1C111a3b,,,,
Dinitrogen trioxide,1C111a3a,,,,
Dinitrogen pentoxide,1C111a3c,,,,
"2,2' Dinitropropanol",1C018,,,,
"Diodes, laser",6A005d1,,,,
Diortho tolyl-urethane,1C018g,,,,
Diphenyl urethane,1C018f,,,,
Direct view imaging equipment,6A002c,,,,
Direct-acting hydraulic pressing technology for metal working,2E003b2c,,,,
Direct Digital Synthesizer (DDS) integrated circuits,3A001a13,,,,
"Direction finding equipment & components, surveillance",5A001e,,,,
"Direction finding equipment, parts & components, navigation, not controlled under 7A003 or 7A103",7A994,,,,
"Direction finding systems, equipment & components, navigation (inertial)",7A003,,,,
"Direction finding systems, equipment & components, navigation, not controlled under 7A003",7A103,,,,
Directional solidification casting control software,9D004c,,,,
Directional solidification casting equipment,9B001a,9B619a,,,
Discharge type arms,0A985,,,,
Discrete microwave transistors,3A001b3,,,,
Discrete microwave transistor technology,3.00E+01,,,,
Disk drive (magnetic hard) development or production technology,4E993c,,,,
"Display, 3D (software for)",7D004g,,,,
Disruptors,1A006b,,,,
"Dissolvers, for nuclear fuel",0B006b,,,,
Distillation columns,2B350e,,,,
"Distillation columns, hydrogen-cryogenic",1B228,,,,
"Distillation towers, packings",1A226,,,,
Dive computers,8A992j,,,,
Diver deterrent acoustic systems,8A002r,,,,
"DNAN (2,4-dinitroanisole) (CAS 119-27-7)",Annex to Category 1 “List of Explosives” 44,,,,
Dobrava-Belgrade virus,1C351a7,,,,
Doppler laser interferometers (DLIs),6A225,,,,
Double seal valves,2B350g,,,,
Drilling equipment,2B999h,,,,
"Drilling machines, deep-hole",2B001f,,,,
Drone (military) production facilities,9B610c,,,,
"Dry etching equipment, anisotropic plasma",3B001c,,,,
Dye lasers,6A005c,,,,
Dye lasers,6A205,,,,
Dynamic adaptive routing equipment,5A991c9,,,,
Dynamic wavefront (phase) measuring equipment,6A005f1,,,,
Dynamic adaptive routing software,5D991a,,,,
E-beam welders,2B999e,,,,
"Earth moving equipment, large",2B999h2,,,,
Eastern equine encephalitis virus,1C351a8,,,,
EB-PVD (Electron beam physical vapor deposition) equipment,2B005c,,,,
Ebola virus,1C351a9,,,,
Eddy current test equipment for nuclear reactors,2A291d,,,,
"EDMs, non-wire feed types",2B001d,,,,
"EDMs, wire feed type",2B991d1,,,,
Ejection seat mounted survival aids for military aircraft,9A610y6,,,,
Electric cattle prods,0A985,,,,
"Electric detonators, explosive",3A232a,,,,
Electric fans,3A611y2,,,,
Electric propulsion engines,8A002o2b,,,,
Electrical contacts,3A611y19,,,,
"Electrical discharge machines, non wire feed (CNC)",2B001d,,,,
Electrical discharge machines (EDM) of the wire feed type,2B991d2,,,,
Electrical guide pins,3A611y20,,,,
Electrically driven explosive detonators,3A232a,,,,
Electro-optic materials,6C004,,,,
Electro-optical device manufacturing equipment and systems,3B991b Note,,,,
Electro-optical integrated circuits,3A001a6,,,,
"Electrolysis cells, amalgam lithium isotope separation",1B233b3,,,,
Electrolytic cells for fluorine production,1B225,,,,
Electrolytic cells for fluorine production not controlled by 1B225,1B999a,,,,
Electromagnetic interference (EMI) protection technology,7.00E+102,,,,
Electromagnetic isotope separators,1B226,,,,
"Electromagnetic pulse (EMP) protection, detectors",6A102,,,,
"Electromagnetic pulse (EMP) protection technology, avionics",7.00E+102,,,,
"Electromagnetic radiation sensors, optical fiber",6A002d3a,,,,
Electromagnetic signature reduction devices,1A101,,,,
Electromagnetic signature reduction materials,1C101,,,,
Electromagnetic underwater communications systems,5A001b1b,,,,
"Electromagnets, superconductive",3A201b,,,,
"Electromagnets, superconductive",3A001e3,,,,
Electron beam cutting machines (CNC),2B001e1b,,,,
Electron beam equipment for mask making/semiconductor devices,3B001f2,,,,
Electron beam equipment for projection image transfer,3B991b2g,,,,
Electron beam melting furnaces,2B227b,,,,
Electron beam physical vapor deposition (EB-PVD) equipment,2B005c,,,,
Electron beam sensitive resist materials,3C002b,,,,
"Electron beam systems, for probing semiconductor devices",3B992b5,,,,
Electron beam systems,3B991b1j,,,,
Electron beam test systems,3B992b5,,,,
Electron bombardment mass spectrometers,3A233d,,,,
Electron cyclotron resonance (ECR) plasma dry etching equipment,3B001c1b,,,,
Electron tube manufacturing equipment and components,3B991a,,,,
Electron tube inspection or testing equipment and components,3B992a,,,,
Electronic assemblies,4A003,,,,
Electronic assemblies and related equipment not controlled by 4A001 or 4A003,4A994,,,,
Electronic assemblies specially designed to provide feedback capability in systems controlled by 2B006.b.1.c,2B006b1d,,,,
Electronic cameras,6A003a5,,,,
Electric chairs,0A981,,,,
Electronic components,3A001,,,,
Electronic components,3A201,,,,
Electronic components,3A101,,,,
Electronic components (military),3A611,,,,
"Electronic components and materials inspection or testing equipment, components and accessories",3B992,,,,
Electronic components and materials manufacturing equipment,3B991,,,,
"Electronic components and materials manufacturing equipment, not controlled by 3B001",3C001,,,,
Electronic computers,4A994a,,,,
Electronic computers & related equipment,4A001,4A003,4A004,4A994,
Electronic computers & related equipment,4A101,,,,
Electronic computers & related equipment,4A102,,,,
Electronic cooling fluids,1C006d,,,,
Electronic framing cameras,6A203b2,,,,
Electron sensing devices,6A002a2a2b,,,,
Electronic streak cameras & streak tubes,6A003a3,,,,
Electronic streak cameras & streak tubes,6A203b1,,,,
Electrical connectors,3A611y1,,,,
"Electronically steerable antennae, phased array",5A001d,,,,
Electroplating equipment,2B999i,,,,
"EMP/EMI protection technology, avionic systems",7.00E+102,,,,
"Encoders, rotary input shaft type",3A001f,,,,
"Encryption equipment, assemblies & components",5A002,,,,
Encryption hardware component,"Category 5, Part  2 Note 3 (b)",,,,
Encryption software,5D002,,,,
"End effectors, robot",2B207,,,,
"End effectors, robot",2B007,,,,
Energetic ionic materials,Category 1 List of Explosives 48,,,,
Energy storage capacitors,3A001e2,,,,
"Engines, diesel n.e.s.",9A990,,,,
"Engines (marine), n.e.s.",8A992g,,,,
"Engines (submarine), n.e.s.",8A992g,,,,
Engines (air breathing reciprocating or rotary internal combustion type),9A012b4,,,,
Enterohaemorrhagic E. coli (EHEC),1C351c17,,,,
Environmental chambers,8b,9B106b,9B610b,,
"Environmental chambers, capable of simulating flight conditions",9B106a,9B610b,,,
Epitaxial growth equipment,3B001a,,,,
Epitaxial growth stored program controlled equipment,3B991b1d,,,,
"Epitaxial wafers, Cadmium telluride (CdTe)",6C002b,,,,
Epoxy resin matrix impregnated carbon fibers or filamentary materials,1C010e Note 1,,,,
Equine morbillivirus (Hendra virus),1C351a12,,,,
Erbium oxide (erbia) (Er2O3) made/coated crucibles,2A225a4,,,,
Etching stored program controlled equipment,3B991b1h,,,,
"Ethers, as lubricating fluid",1C006b1,,,,
0-ethyl-2-diisopropylaminoethyl methylphosphonite (QL),1C350a1,,,,
Ethyl centralites,1C018a,,,,
Ethyl phenyl urethane,1C018e,,,,
Ethyl phosphinyl dichloride,1C350b12,,,,
Ethyl phosphinyl difluoride,1C350b13,,,,
Ethyl phosphonous dichloride,1C350b12,,,,
Ethyl phosphonous difluoride,1C350b13,,,,
Ethyl phosphonyl dichloride,1C350b14,,,,
Ethyl phosphonyl difluoride,1C350a2,,,,
Ethyl-NN-diphenylurea (ethyl unsymmetrical diphenylurea),1C018d,,,,
Ethyldiethanolamine (139-87-7),1C350c12,,,,
Evaporators for concentrated lithium hydroxide solution,1B233b4,,,,
"Exchange columns, liquid-liquid for lithium amalgams",1B233b1,,,,
"Exchanges, telecommunication",5A991c,,,,
Excimer lasers,6A005d4,,,,
"Execution of human beings, equipment for",0A981,,,,
Expert systems - integration systems technology,2E003e,,,,
Exploding foil initiators (EFI),1A007,,,,
Exploding bridge (EB) detonators,1A007,,,,
Exploding bridge wire (EBW) detonators,1A007,,,,
"Explosive, high",1C239,,,,
Explosive/munitions environment handling robots,2B007b,,,,
Explosive detection,1A004d,,,,
Explosive detonator firing sets,1A007a,,,,
"Explosives or detonator detection equipment, software, or technology",2A983,2D983,2E983,,
"Explosive detonators, electric",1A007b,3A232,,,
"Explosive devices , charges, components - commercial",1A008,1C992l,,,
Explosives (military) production equipment,1B018a,,,,
Explosives (military) in charges for civil applications,1A008,1C608,,,
FADEC (Full authority digital electronic engine control) software,9D003,9D619,,,
FADEC (Full authority digital electronic engine control) technology,9E003h,9E619,,,
Fan blade (hollow) technology,9.00E+03,9E619,,,
"Fans, electric",3A611y2,,,,
Fast Fourier Transform (FFT) processors,3A001a12,,,,
Fast switching function modules or assemblies,3A228c,,,,
"Fast fourier transform processors, acoustic signal processing",6A001a2c,,,,
Fault tolerance FADEC software,9D003,9E619,,,
"Fermenters (biological processing), and components designed for such fermenters",2B352b,,,,
Fertilizers containing ammonium nitrate,1C997,,,,
"Fiber, equipment for the production of",1B999,,,,
Fiber and filamentary material,1C010,,,,
Fiber and filamentary material,1C210,,,,
"Fiber converting equipment, polymeric to carbon or silicon carbon",1B001d1,,,,
Fiber optic cable,5A001c,,,,
Fiber optic gyro coil winding machines,7B003,,,,
Fiber optic magnetometers,6A006c,,,,
Fiber optic hull penetrators/connectors,8A002c,,,,
Fiber optic wave division multiplex equipment,5A991b5,,,,
"Fiber preforms, metal coated, for fiber prepregs in 9C110",9C110,,,,
"Fiber prepregs, resin impregnated, for items in 9A110",9C110,,,,
"Fiber reinforcement, production equipment",1B001d,,,,
Fiber straining equipment,1B001d1,,,,
Fiber surface treatment equipment,1B101d,,,,
Fibrous or filamentary materials,1C210,,,,
Fibrous or filamentary materials,1C010,,,,
"Fibrous or filamentary materials, carbon",1A002b1,,,,
Fibrous and filamentary materials for use in composite structures,1C990,,,,
Fibrous or filamentary material production equipment,1B001,,,,
Fibrous or filamentary material production equipment,1B101c,,,,
"Fibrous and filamentary materials development, production or use technology",1E994,,,,
Field programmable gate arrays (FPGA),3A001a7,,,,
Field programmable logic arrays (FPLA),3A001a7,,,,
Field programmable logic devices,3A001a7,,,,
Field programmable logic devices,3A991c,,,,
Filament winding machines,1B001a,,,,
Filament winding machines,1B101a,,,,
Filament winding machines,1B201,,,,
"Filling equipment, remotely controlled",2B350f,,,,
Film type integrated circuits,3A001a Note 2,,,,
Filter canisters,1A004,1A995,,,
"Filters, tunable band-pass",3A001b5,,,,
Filters for clean rooms,3B991b4,,,,
Filters (fuel or oil) for gas turbine engines,9A619y4,,,,
"Filters (hydraulic, fuel, oil, air) for ground vehicles",0A606y8,,,,
"Filters, optical",6A994a,,,,
Filters for hydraulic/oil/fuel systems in military aircraft,9A610y8,,,,
Filters for pneumatic/hydraulic/oil/fuel systems in submersible vessels,8A620y2,,,,
Filters for pneumatic/hydraulic/oil/fuel systems in surface vessels of war,8A609y2,,,,
Finger barriers,3A611y31,,,,
Finger cuffs,0A983,,,,
"Fingerprint analyzers, cameras and equipment",3A981,,,,
"Fingerprint equipment, computers for",4A980,,,,
"Fingerprinting powders, dyes, inks",1A985,,,,
"Fingers, for surface effect vessels",8A002k,,,,
"Finishing machines, gear",2B003,,,,
"Finishing machines, gear",2B003,,,,
Fins,8A992i,,,,
Fire extinguishers for military aircraft,9A610y26,,,,
Fire detectors for military aircraft,9A610y27,,,,
"Firearms, muzzle-loading (black powder)",0A018c,,,,
"Firing sets, for multiple detonators of 3A232",1A007,3A229a,,,
Fireworks displays,1C608j,1C992k,,,
"Fissile materials, special or other",0C002,,,,
"Flanges, vacuum",2B999k,,,,
"Flares, non-irritant smoke",1A984,,,,
Flash discharge X-ray generators,3A201c,,,,
Flash X-ray machines,3A999c,,,,
Flexible rotor centrifugal balancing machines,2B229a,,,,
Flexible sensors for hydrophones,6A001a2a1,,,,
"Flexible nozzles, thrust vector control sub-system",9A106c,,,,
Flexible waveguide,3A991h,,,,
Flight management system integration technology,7.00E+104,,,,
Flight control servo valves,9A106e,,,,
Flight control systems for missiles,7A116,,,,
Flight control systems for military UAVs or drones,9A610w,,,,
Flight control systems - software,7D003e,7D004,,,
"Flight instrument systems, integrated",7A103b,,,,
"Flight instrument trainer, military",9A610t,,,,
Flight control system development technology,7.00E+04,,,,
Flight control actuator technology,7E004a5,,,,
Flip-guards,3A611y32,,,,
Flow-forming machines,2B009,,,,
Flow-forming machines,2B109,,,,
Flow-forming machines,2B209,,,,
Flow-forming machines,2B999l,,,,
Fluid energy mills,1B119,,,,
Fluoride compounds (bulk),6C994a1,,,,
Fluoride glass (bulk),6C994a2,,,,
Fluorinated silicone fluid,1C006b2,,,,
"Fluorinated compounds, components",1A001,,,,
"Fluorinated compounds, unprocessed",1C009,,,,
Fluorinated phosphazene elastomers,1C009c,,,,
Fluorinated polyimide,1C009b,,,,
Fluorine,1C999f,,,,
Fluorine production (electrolytic cells),1B225,,,,
"Fluorocarbon electronic cooling fluid development, production, or use technology",1E994,,,,
Fluorocarbon electronic cooling fluids,1C006d,,,,
Fluorophosphate glass,6C004e,,,,
Flurocarbon electronic cooling fluids,1C006d,,,,
Fluxgate magnetometer technology,6E003f,,,,
Fly cutting machines,2B001b4,2B992b,,,
Fly-by-light flight control system software,7D003e,7D004c,0D521 No 2,,
Fly-by-light technology,7E004b,,,,
Fly-by-wire flight control system software,7D003e,7D004c,0D521 No 2,,
Fly-by-wire systems for military UAVs or drones,9A610w,,,,
Fly-by-wire systems for missiles,7A116,,,,
Fly-by-wire control system technology,7E004b,0E521 No 6,,,
"Foam, syntactic for underwater use (in any stage of manufacture)",8C001,8A002a4,,,
"Foam mirror structures, lightweight",6A004a3,,,,
"Focal plane arrays, direct view",6A002c2,6A002c3,,,
"Focal plane arrays, linear & 2D",6A002a3,,,,
"Focal plane arrays, non-space qualified",6A002a3g,,,,
"Focal plane arrays, space qualified",6A002a1d,,,,
Focal-plane array performance determining equipment,3B992b4c,,,,
"Fogging or spraying systems, specially designed for fitting to aircraft, “lighter than air vehicles,” or “UAVs”",2B352h1,,,,
Foot & mouth disease virus,1C352a4,,,,
Fording (water) kits for ground vehicles,0A606e,,,,
FPGA's (Field programmable gate arrays),3A001a7,,,,
FPLA's (Field programmable logic arrays),3A001a8,,,,
Fracking fluid,0A998b2,,,,
"Framing cameras, electronic type",6A203b2,,,,
"Framing cameras, mechanical",6A203a1,,,,
Framing tubes & solid state imaging devices,6A203b3,,,,
"Framing cameras, electronic type",6A003a4,,,,
Francisella tularensis,1C351c14,,,,
Free electron laser magnet wiggler manufacturing or inspection equipment,6B995a1,,,,
Free electron laser photo injector manufacturing or inspection equipment,6B995a2,,,,
"Freeze drying equipment, steam sterilizable",2B352e,,,,
Freon and chilled water cooling systems,1B999d,,,,
Frequency agile (frequency hopping) radio equipment,5A001b3,,,,
Frequency agile systems,5A002a5,,,,
Frequency agile tubes,3A001b1,,,,
Frequency hopping development technology,5E001b4,,,,
Frequency analyzers (signal analyzers),3A002c,,,,
Frequency changers,3A999a,,,,
Frequency changers (converters or inverters),3A225,,,,
"Frequency changers (a.k.a. converters or inverters) and generators, “software” “specially designed” for the “use” of",3D201,,,,
"Frequency changers (a.k.a. converters or inverters) and generators, “software” “specially designed” to enhance or release the performance characteristics of equipment to meet or exceed the performance characteristics in ECCN 3A225",3D202,,,,
"Frequency extenders, mixers/converters",3A001b7,,,,
Frequency network analyzers,3A002e,,,,
"Frequency standards, atomic",3A002g,,,,
Frequency synthesized signal generators,3A002d,,,,
"Frequency synthesizer, electronic assemblies",3A001b11,,,,
Fuel oils,1C980,,,,
"Fuel elements, (irradiated) reprocessing plant & equipment",0B006,,,,
Fuel element chopping or shredding machines,0B006a,,,,
Fuel cell air independent power systems,8A002j,,,,
Fuel lines and hoses for gas turbine engines,9A619y3,,,,
Fuel filters for gas turbine engines,9A619y4,,,,
Full Authority Digital Electronic Engine Control software,9D003,9D619,,,
"Functional (truth table) testing equipment, for integrated circuits",3B002b,,,,
"Fungi, human and zoonotic pathogens and “toxins”",1C351e,,,,
"Fungi, plant pathogens",1C354b,,,,
Furnaces,2B226,,,,
"Furnaces, Chemical Vapor Deposition (CVD), other than those controlled by 2B005.a, designed or modified for the densification of carbon-carbon composites",2B105,,,,
Furnaces,2B227,,,,
Fused silica glass,6C004e,,,,
GaAs photocathodes,6A002a2c3,,,,
GaInAs photocathodes,6A002a2c3,,,,
Galleys (military aircraft),9A610y9,,,,
Galleys (submersible vessels),8A620y3,,,,
Galleys (surface vessels of war),8A609y3,,,,
Gallium organo-metallic compounds,3C003,,,,
"Gallium III/V compound substrates, hetero-epitaxial grown-multi-layer",3C001c,,,,
"Gallium nitride (GaN) “substrates”, ingots, boules, or other preforms of those materials",3C005,,,,
Gallium selenide,6C004b5,,,,
Gallows,0A981,,,,
Gas centrifuge rotor assembly equipment,2B228a,,,,
Gas krytron tubes,3A228a,,,,
Gas or full face masks,1A004,1A995,,,
Gas centrifuge rotor balancing equipment,2B229,,,,
"Gas, manufactured, synthetic or natural liquid produced or derived from Naval Petroleum Reserves",1C984,,,,
Gas discharge & ion lasers,6A005a,,,,
"Gas and oil exploration equipment, software, and data",0A998,,,,
Gas lasers,6A005a,,,,
"Gas monitoring systems, toxic",2B351,,,,
"Gas turbine aeroengines, civil non-certified/supersonic",9A001,,,,
"Gas turbine blade, manufacturing or measuring equipment",9B001,9B619,,,
Gas turbine blade technology,9E003a,9E619,,,
"Gas turbine blades, vanes or tip shroud casting equipment, tooling or fixtures",9B991,9B619,,,
Gas turbine brush seal production/test equipment,9B003,9B619,,,
"Gas turbine components, solid state joining equipment",9B004,9B619,,,
Gas turbine engine development systems/instrumentation,9B002,9B619,,,
Gas turbine engine development control systems or instrumentation,9B002,9B619,,,
Gas turbine engine propulsion systems assemblies/components,9A003,9A619,,,
Gas turbine engine technology,9.00E+03,9E619,,,
Gas turbine engine development and use software,9D004,9D619,,,
Gas turbine engine monitoring system software,9D619b11,,,,
"Gas turbine engines, parts and components, not controlled by 9A001 or 9A101",9A991,9A619,,,
"Gas turbine engines & assemblies/components, marine",9A002,,,,
Gas turbine test/flow modeling software,9D004a,9D619,,,
Gas turbine (aero engine) test software,9D004b,9D619,,,
"Gaskets, made from fluoroelastomers",1A001c,,,,
"Gaskets, aircraft/aerospace use",1A001a,9A610x,,,
"Gaskets, ground vehicles",0A606y9,,,,
"Gaskets, vacuum",2B999k,,,,
Gate silicon intensifier target (SIT) videcon tubes,6A203b3b,,,,
Gateways & bridges,5A991b4b,,,,
"Gauges, hydraulic, pneumatic, fuel and lubrication",3A611y35,,,,
Gauges and indicators (analog cockpit),9A610y2,,,,
Gauges and indicators (submersible vessels),8A620y10,,,,
Gauges and indicators (surface vessels of war),8A609y10,,,,
GDMS (Glow discharge mass spectrometers),3A233b,,,,
"Gear honing, shaving, grinding, cutting, and finishing machines",2B003,,,,
Gearmaking and/or finishing machinery not controlled by 2B003,2B993,,,,
Gel propellant control system,9A106d,,,,
"Generator systems, neutron",3A231,,,,
Generators and other equipment for nuclear plants,2A290,,,,
"Generators, digital time delay",3A999e1,,,,
"Generators, for ground vehicles",0A606y2,,,,
"Generators, field – “specially designed for military use",0A617y4,,,,
"Generators, high-current pulse for detonators",3A229,,,,
"Generators, high-speed pulse",3A230,,,,
"Generators, marx",3A999c,,,,
"Generators, portable electric",2A994,,,,
Genetically-modified microorganisms,1C353,,,,
"Germanium, hetero-epitaxial grown multi-layer substrates",3C001b,,,,
"Gimbals, optical control",6A004d3,,,,
Glass fiber or filamentary materials,1C210b,,,,
"Glass fiber, for optical communications",5A001c,,,,
Glass matrix reinforced composite materials,1C007f,,,,
"Glass preforms, for optical fiber production",5C991,,,,
"Glass Windows, nuclear radiation shielding",1A227,,,,
"Glass, high homogeneity",6C004e3,,,,
Global Navigation Satellite Systems (GNSS) ranging signals decryption software,7D005,,,,
Global positioning system (GPS) equipment & components,7A005,7A105,7A994,,
Glove boxes,0B999,,,,
"Gloves, protective",1A004,1A995,,,
Glow discharge mass spectrometers (GDMS),3A233b,,,,
GNSS (Global Navigation Satellite Systems) ranging signals decryption software,7D005,,,,
Goat pox virus,1C352a5,,,,
Gold (Au) metal vapor lasers,6A005b,,,,
"GPS equipment, other than those of 7A005",7A105,,,,
GPS (Global positioning system) equipment/components,7A005,,,,
"Gradiometers & components, gravity",6A007c,,,,
"Gradiometers & components, gravity",6A107,,,,
"Gradiometers & components, magnetic",6A006,,,,
Graphics accelerators or graphics coprocessors,4A003d,,,,
Graphics accelerator development or production technology,4E993a,,,,
"Graphite, fine grain recrystallized bulk",1C107a,,,,
"Graphite, bulk",1C107a,,,,
"Graphite, pyrolytic or fibrous reinforced",1C107b,,,,
"Graphite, nuclear-grade, not intended for use in a nuclear reactor",1C298,,,,
"Gravimeters (Gravity meters) & components, gravity",6A007a,,,,
"Gravimeters (Gravity meters) & components, gravity",6A007b,,,,
"Gravimeters (Gravity meters) & components, gravity",6A107,,,,
Gravity meter (gravimeters) products & calibration equipment,6B007,,,,
Gravity meters,6A997,,,,
Gravity gradiometers & components,6A007c,,,,
Gravity meters (gravimeters) & components,6A007b,,,,
Gravity meters (gravimeters) & components,6A007a,,,,
Gravity meters (gravimeters) software,6D003g,,,,
Gravity gradiometers & components,6A107,,,,
Gravity meters (gravimeters) & components,6A107,,,,
Gravity gradiometer software,6D003g,,,,
Greases,1C980,,,,
"Grenades, non-irritant smoke",1A984,,,,
Grinding machines (CNC),2B991d1,,,,
"Grinding machines, gear",2B003,,,,
Grinding machines,2B201b,,,,
Grinding machines,2B001c,,,,
Ground fault circuit interrupters,3A611y18,,,,
Ground vehicles & related commodities,0A606,,,,
Grounding straps,3A611y25,,,,
Guanarito virus,1C351a10,,,,
Guanidine nitrate,1C011c,1C608m,,,
GUDN (Guanylurea dinitramide) FOX-12 (CAS 217464-38-5),Annex to Category 1 List of Explosives 46,,,,
Guidance sets usable in missiles,7A117,,,,
Guillotines,0A981,,,,
Gun barrel rifling and broaching machines and tools therefor,2B018e,2B018e,2B018f,,
Gun barrel trepanning machines,2B018g,,,,
Gun boring and turning machines,2B018h,,,,
Gun honing machines,2B018i,,,,
